"vp";"nodd";"rfpbase";"audiofreq";"N";"p";"RT"
"S12";"1";"1,5";"2200";"16";"0,937500000000000";"1,200072422623634"
"S12";"1";"1,5";"2400";"16";"0,625000000000000";"1,183448299765587"
"S12";"3";"0,5";"2000";"16";"0,187500000000000";"1,164491817355156"
"S12";"3";"0,5";"2200";"16";"0,062500000000000";"1,037871763110161"
"S12";"3";"0,5";"2400";"16";"0,125000000000000";"1,058469206094742"
"S12";"3";"1,5";"2000";"16";"0,812500000000000";"1,232528120279312"
"S12";"3";"1,5";"2200";"16";"0,875000000000000";"1,105974435806274"
"S12";"3";"1,5";"2400";"16";"0,875000000000000";"1,112692728638649"
"S12";"5";"0,5";"2000";"16";"0,125000000000000";"1,151754528284073"
"S12";"5";"0,5";"2200";"16";"0,125000000000000";"1,826247796416283"
"S12";"5";"0,5";"2400";"16";"0,062500000000000";"1,148139104247093"
"S12";"5";"1,5";"2000";"16";"0,750000000000000";"1,112546786665916"
"S12";"5";"1,5";"2200";"16";"0,750000000000000";"1,145480409264565"
"S12";"5";"1,5";"2400";"16";"0,687500000000000";"1,222654059529305"
"S12";"7";"0,5";"2000";"16";"0,062500000000000";"1,061013236641884"
"S12";"7";"0,5";"2200";"16";"0,062500000000000";"1,147753924131393"
"S12";"7";"0,5";"2400";"16";"0,125000000000000";"1,205311253666878"
"S12";"7";"1,5";"2000";"16";"0,812500000000000";"1,275255724787712"
"S12";"7";"1,5";"2200";"16";"0,625000000000000";"1,237874895334244"
"S12";"7";"1,5";"2400";"16";"0,812500000000000";"1,152191385626793"
"S12";"9";"0,5";"2000";"16";"0,125000000000000";"1,056385874748230"
"S12";"9";"0,5";"2200";"16";"0,125000000000000";"1,181200504302979"
"S12";"9";"0,5";"2400";"16";"0,125000000000000";"1,059576034545898"
"S12";"9";"1,5";"2000";"16";"0,875000000000000";"1,726111188530922"
"S12";"9";"1,5";"2200";"16";"0,687500000000000";"1,366875544190407"
"S12";"9";"1,5";"2400";"16";"0,750000000000000";"1,158564031124115"
"S12";"11";"0,5";"2000";"16";"0,000000000000000";"1,070707231760025"
"S12";"11";"0,5";"2200";"16";"0,000000000000000";"1,100954726338387"
"S12";"11";"0,5";"2400";"16";"0,000000000000000";"1,062367141246796"
"S12";"11";"1,5";"2000";"16";"0,937500000000000";"1,258940190076828"
"S12";"11";"1,5";"2200";"16";"0,750000000000000";"1,067163988947868"
"S12";"11";"1,5";"2400";"16";"0,750000000000000";"1,101887091994286"
"S13";"1";"0,5";"2000";"16";"0,562500000000000";"1,394819393754005"
"S13";"1";"0,5";"2200";"16";"0,250000000000000";"1,139729812741280"
"S13";"1";"0,5";"2400";"16";"0,375000000000000";"1,590389341115952"
